"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"25"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"25"	"25_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"59"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"59"	"59_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"2"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"2"	"2_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"21"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"21"	"21_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"34"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"34"	"34_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"30"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"30"	"30_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"53"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"53"	"53_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"55"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"55"	"55_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"40"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"40"	"40_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"42"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"42"	"42_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"48"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"48"	"48_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"12"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"12"	"12_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"41"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"41"	"41_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"50"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"50"	"50_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"20"	"20_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"37"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"37"	"37_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"56"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"56"	"56_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"16"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"16"	"16_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"26"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"26"	"26_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"47"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"47"	"47_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"28"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"28"	"28_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"32"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"32"	"32_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"51"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"51"	"51_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"3"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"3"	"3_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"9"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"9"	"9_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"23"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"23"	"23_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"11"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"11"	"11_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"24"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"24"	"24_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"36"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"36"	"36_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"19"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"19"	"19_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"52"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"52"	"52_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"57"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"57"	"57_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"10"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"10"	"10_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"14"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"14"	"14_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
