"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1_1"	"QC1_2"	"QC1_3"	"QC2_1"	"QC2_2"	"QC2_3"	"1"	"2"	"3"	"4"	"5"	"QC3"	"6"	"7"	"8"	"9"	"10"	"QC4"	"11"	"12"	"13"	"14"	"15"	"QC5"	"16"	"17"	"18"	"19"	"20"	"QC6"	"21"	"22"	"23"	"24"	"25"	"QC7"	"26"	"27"	"28"	"29"	"QC8"	"QC9_1"	"QC9_2"	"QC10_1"	"QC10_2"	"QC10_3"	"30"	"31"	"32"	"33"	"34"	"QC11"	"35"	"36"	"37"	"38"	"39"	"QC12"	"40"	"41"	"42"	"43"	"44"	"QC13"	"45"	"46"	"47"	"48"	"49"	"QC14"	"50"	"51"	"52"	"53"	"54"	"QC15"	"55"	"56"	"57"	"58"	"59"	"QC16"
"CHEBI:84250"	"C12H26"	"CCCCCCCC(C)CCC"	"InChI=1S/C12H26/c1-4-6-7-8-9-11-12(3)10-5-2/h12H,4-11H2,1-3H3"	"Undecane, 4-methyl-"	""	""	""	""	"360.479"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"224368"	"248344"	"252607"	"242279"	"252629"	"277704"	"216020"	"238225"	"254904"	"236731"	"231967"	"263683"	"261181"	"243834"	"252680"	"227548"	"264563"	"259951"	"252308"	"265651"	"262296"	"276358"	"263093"	"294959"	"242032"	"259503"	"245349"	"231886"	"246145"	"251498"	"234849"	"244540"	"232844"	"268653"	"262237"	"269582"	"260976"	"270745"	"254892"	"264557"	"267413"	"310488"	"288274"	"276649"	"289094"	"254067"	"237862"	"239639"	"249675"	"301896"	"263979"	"283132"	"235020"	"268961"	"256676"	"245475"	"261684"	"271022"	"253918"	"267014"	"301227"	"278981"	"266723"	"291162"	"244260"	"262239"	"270362"	"263833"	"281200"	"290057"	"304471"	"287732"	"297405"	"303190"	"252210"	"309412"	"278442"	"281788"	"279737"	"270340"	"267618"	"296844"
"unknown"	""	""	""	"Unknown 4"	""	""	""	""	"365.929"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"266122"	"247455"	"276247"	"232019"	"251765"	"259569"	"263132"	"219314"	"242824"	"250516"	"236960"	"315492"	"217765"	"249566"	"253256"	"233075"	"289905"	"248470"	"221396"	"236111"	"288693"	"307181"	"293772"	"310185"	"269370"	"278215"	"286617"	"272383"	"291071"	"238241"	"269322"	"269031"	"275449"	"253635"	"249008"	"311928"	"314005"	"298996"	"316914"	"236373"	"293802"	"236134"	"240860"	"236469"	"272609"	"252299"	"250701"	"242909"	"251332"	"265899"	"252615"	"267053"	"274383"	"282630"	"250304"	"282450"	"248856"	"274494"	"262191"	"264373"	"NA"	"296620"	"251659"	"283402"	"318204"	"271070"	"270888"	"297928"	"274712"	"272925"	"308432"	"290537"	"276159"	"281350"	"285416"	"344263"	"274383"	"282112"	"303052"	"305540"	"299428"	"302604"
"CHEBI:16449"	"C3H7NO2"	"CC(N)C(O)=O"	"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"	"Alanine_1097_2TMS"	""	""	""	""	"374.129"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"3394569"	"4182226"	"3892890"	"3685917"	"3917271"	"3579115"	"398205"	"2740684"	"2447934"	"9031672"	"467346"	"4570840"	"669364"	"6833161"	"454033"	"1638363"	"794133"	"4175174"	"14955207"	"1763308"	"2140792"	"865776"	"464120"	"4620276"	"8837659"	"1099538"	"7834114"	"14398324"	"7007919"	"3992599"	"3804379"	"8017904"	"2033624"	"11066418"	"5856587"	"5425359"	"9215155"	"725062"	"3253266"	"1579190"	"4865562"	"3653298"	"3802892"	"4616202"	"4725043"	"4731800"	"7128828"	"7655694"	"2569008"	"940737"	"3509885"	"4599320"	"8019098"	"13328049"	"9020577"	"8678423"	"6659376"	"4629005"	"1592652"	"1542728"	"1534274"	"629270"	"1367793"	"4185814"	"1002753"	"502459"	"9210479"	"1111262"	"491072"	"5248172"	"1170503"	"1812137"	"14168340"	"8022601"	"13393471"	"5376339"	"7191243"	"6219892"	"13852419"	"10909573"	"8982620"	"5369882"
"CHEBI:87440"	"C5H5NO"	"Oc1cccnc1"	"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H"	"Pyridine, 3-trimethylsiloxy-"	""	""	""	""	"386.879"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"536618"	"521338"	"569785"	"501465"	"546525"	"577379"	"494605"	"415431"	"540375"	"464996"	"445363"	"618710"	"530997"	"461442"	"577839"	"510442"	"525870"	"575974"	"586876"	"486972"	"552801"	"590415"	"492722"	"586414"	"503625"	"593334"	"572162"	"650891"	"513084"	"528046"	"521541"	"485029"	"557933"	"514470"	"518129"	"621246"	"580530"	"560795"	"676926"	"459255"	"593303"	"511722"	"524666"	"500905"	"466511"	"491427"	"419924"	"542172"	"494410"	"463161"	"392658"	"576153"	"447415"	"631669"	"720805"	"695357"	"438612"	"532573"	"571974"	"444405"	"576960"	"532113"	"539739"	"643710"	"560354"	"465138"	"556366"	"503318"	"489346"	"528834"	"520655"	"616637"	"693629"	"445039"	"712130"	"552874"	"506593"	"674185"	"786762"	"732249"	"676005"	"622553"
"unknown"	""	""	""	"Unknown 5"	""	""	""	""	"400.179"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"4028518"	"4141929"	"5897070"	"4941049"	"6020114"	"6678741"	"3911713"	"4664935"	"4281796"	"5008183"	"4510044"	"6905928"	"4767473"	"7184656"	"5681600"	"5242014"	"5499872"	"6931537"	"7238768"	"5365047"	"5537703"	"6356954"	"4916510"	"8902883"	"806103"	"6523543"	"669815"	"9908819"	"9008771"	"9109253"	"7742088"	"9411850"	"7706259"	"7774037"	"8266050"	"921888"	"958040"	"9180196"	"10173715"	"5945082"	"9485561"	"7457633"	"6233175"	"606471"	"7059945"	"8531440"	"614398"	"496368"	"5713789"	"6530401"	"6190581"	"7857617"	"6831000"	"885257"	"6467108"	"7607953"	"689208"	"10983346"	"6209007"	"6579034"	"6267868"	"8039965"	"553271"	"743356"	"6923756"	"6295056"	"10245435"	"9121686"	"8411882"	"11981049"	"9346215"	"7682269"	"8858029"	"16882243"	"9289706"	"11314800"	"8833898"	"7908734"	"9273538"	"8804819"	"10505236"	"9396638"
"unknown"	""	""	""	"Unknown 6"	""	""	""	""	"400.629"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"365931"	"388616"	"543974"	"506509"	"537649"	"570398"	"343261"	"403521"	"375223"	"482517"	"387771"	"657737"	"442195"	"654990"	"527367"	"491810"	"432783"	"599833"	"719372"	"476070"	"467858"	"508426"	"415783"	"771535"	"8647148"	"595128"	"7451936"	"929613"	"852733"	"840796"	"748594"	"870151"	"667184"	"761034"	"750309"	"10363904"	"10023495"	"761441"	"896597"	"517934"	"823474"	"658372"	"543729"	"6571999"	"712086"	"753202"	"6103967"	"6037859"	"507683"	"575736"	"542340"	"729095"	"652875"	"9031155"	"585976"	"713710"	"7570991"	"979547"	"532617"	"575259"	"534694"	"671595"	"6225311"	"8021204"	"556762"	"559234"	"891885"	"760800"	"NA"	"1049336"	"822877"	"644243"	"912923"	"1431308"	"848803"	"907220"	"816230"	"690309"	"872587"	"818913"	"914323"	"833559"
"CHEBI:15428"	"C2H5NO2"	"NCC(O)=O"	"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"	"Glycine_1152_2TMS"	""	""	""	""	"401.329"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"171857"	"174810"	"252404"	"219150"	"252182"	"279377"	"59751"	"NA"	"145858"	"268542"	"71293"	"304785"	"NA"	"368533"	"100010"	"177595"	"103529"	"293121"	"542045"	"169708"	"112894"	"124534"	"79441"	"369673"	"523638"	"144009"	"402409"	"782475"	"489366"	"386402"	"265247"	"504351"	"240173"	"533424"	"400476"	"441258"	"619133"	"152515"	"313311"	"110271"	"402298"	"312974"	"256080"	"282138"	"299631"	"359669"	"315899"	"297453"	"184761"	"118688"	"209872"	"330374"	"357250"	"659655"	"376538"	"460245"	"355399"	"461957"	"169812"	"180771"	"187741"	"NA"	"136966"	"339555"	"143935"	"NA"	"598499"	"234507"	"128222"	"494227"	"265823"	"262983"	"681333"	"867125"	"569143"	"NA"	"436353"	"409051"	"685153"	"541939"	"599402"	"381393"
"CHEBI:27266"	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)"	"Valine_1183_1TMS"	""	""	""	""	"409.329"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"22093511"	"23729779"	"25375060"	"23480917"	"24415431"	"24236551"	"18842657"	"17382650"	"24487758"	"23521281"	"19452527"	"24423276"	"20225376"	"18180630"	"21665760"	"22302721"	"19783206"	"23653526"	"27413713"	"25043024"	"22432384"	"23210316"	"21363725"	"24887058"	"22663786"	"23245514"	"27668620"	"29569268"	"24002189"	"24081540"	"20489256"	"20418200"	"24453650"	"24692819"	"24063576"	"26599829"	"22542120"	"27928081"	"27820195"	"22190000"	"24260643"	"23648081"	"23930898"	"22677930"	"23906958"	"23217813"	"19658807"	"19338348"	"22805494"	"20080061"	"18777998"	"22785102"	"19476178"	"25131428"	"26635665"	"30716035"	"17702742"	"23803287"	"25492022"	"21006837"	"25206360"	"19876214"	"19455628"	"23858752"	"23502279"	"18070702"	"24241600"	"24841219"	"18858552"	"23714321"	"22703251"	"27292620"	"30973612"	"22185508"	"34130081"	"25599616"	"22557290"	"22247178"	"27074535"	"30285885"	"26448297"	"25769050"
"unknown"	""	""	""	"Unknown 7"	""	""	""	""	"410.029"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"107685"	"107837"	"115999"	"119688"	"125606"	"131166"	"146246"	"94376"	"153158"	"147641"	"117592"	"110913"	"94012"	"NA"	"139019"	"141097"	"103008"	"129489"	"144753"	"138185"	"104587"	"114029"	"106447"	"109556"	"106711"	"114251"	"150430"	"129548"	"139624"	"135467"	"101297"	"108838"	"175137"	"116231"	"160477"	"125132"	"128388"	"136304"	"168021"	"92101"	"135866"	"110424"	"108309"	"126536"	"136016"	"137561"	"82859"	"112267"	"152564"	"92557"	"88073"	"111958"	"124355"	"151728"	"141815"	"168548"	"104301"	"134936"	"152968"	"132167"	"137502"	"96821"	"90478"	"127620"	"101995"	"74868"	"153471"	"135289"	"84896"	"134975"	"141114"	"155924"	"126733"	"107605"	"228261"	"119472"	"96535"	"118699"	"142008"	"185822"	"161541"	"141917"
"CHEBI:35998"	"C13H28"	"CCCCCCCCCCCCC"	"InChI=1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3"	"Tridecane"	""	""	""	""	"426.329"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"12454993"	"12003937"	"12084352"	"12321020"	"12528263"	"12375031"	"12008179"	"11725607"	"12435427"	"12506967"	"11971829"	"12039923"	"11567312"	"12166788"	"11938577"	"12523572"	"13007964"	"12314917"	"12592666"	"11825626"	"12277327"	"12890599"	"12967085"	"12166703"	"12372791"	"12458177"	"12826235"	"12392934"	"12376687"	"12290738"	"12486061"	"12035634"	"12877400"	"12723481"	"12631821"	"12525637"	"13015835"	"12609689"	"12517519"	"11564400"	"12469971"	"11834335"	"11910720"	"11565132"	"11448524"	"11480966"	"12414398"	"11837260"	"11301972"	"12044771"	"11907009"	"11400214"	"11656101"	"11635954"	"12626779"	"10796251"	"11969803"	"11571061"	"11819081"	"11548158"	"11314696"	"11552916"	"12296864"	"11874587"	"12008781"	"11426633"	"12176038"	"11546902"	"11814136"	"11878468"	"12092358"	"11742187"	"10958219"	"13137544"	"12350718"	"12320501"	"11637737"	"12395752"	"11877538"	"12277900"	"12016026"	"12244673"
"unknown"	""	""	""	"Unknown 8"	""	""	""	""	"436.029"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"6377566"	"6216548"	"7223831"	"8173532"	"7794717"	"8500391"	"14990149"	"15801251"	"13082449"	"13194150"	"10710122"	"7346093"	"12107837"	"10067739"	"11486565"	"9059010"	"10412404"	"7900638"	"13238249"	"12411622"	"13995478"	"9423200"	"13448094"	"8157346"	"10837208"	"10321820"	"7949609"	"7919058"	"10020334"	"9748530"	"8084402"	"8612569"	"13010956"	"7846244"	"9132704"	"8078491"	"8013212"	"8747022"	"9962890"	"6300510"	"8982527"	"6540919"	"5988500"	"7314820"	"6921196"	"8309046"	"39740"	"6187266"	"8025337"	"5576352"	"5321369"	"6564658"	"7183455"	"13496968"	"5388496"	"7192424"	"6196085"	"9489889"	"5901758"	"5554247"	"6963806"	"5689447"	"5334022"	"6852739"	"5289090"	"5939345"	"5453694"	"6990943"	"6736388"	"9629024"	"8489781"	"7043669"	"7326619"	"7882195"	"45709"	"8566148"	"5078782"	"6566510"	"46688"	"7393155"	"7634747"	"8408411"
