"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Inducer conditions]"	"Term Source REF"	"Term Accession Number"
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"25"	"EGFP"	""	""	"PPDA"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"59"	"EGFP"	""	""	"PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"2"	"iL3EGFP"	""	""	"IPTG"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"21"	"iL3EGFP"	""	""	"IPTG"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"34"	"iL3EGFP"	""	""	"IPTG"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"30"	"iL3EGFP"	""	""	"IPTG+PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"53"	"iL3EGFP"	""	""	"IPTG+PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"55"	"iL3EGFP"	""	""	"IPTG+PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"40"	"iL3EGFP"	""	""	"No inducer"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"42"	"iL3EGFP"	""	""	"No inducer"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"48"	"iL3EGFP"	""	""	"No inducer"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"12"	"iL3EGFP"	""	""	"PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"41"	"iL3EGFP"	""	""	"PPDA"	""	""
"iL3EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"50"	"iL3EGFP"	""	""	"PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"20"	"iL3PET"	""	""	"IPTG"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"37"	"iL3PET"	""	""	"IPTG"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"56"	"iL3PET"	""	""	"IPTG"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"16"	"iL3PET"	""	""	"IPTG+PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"26"	"iL3PET"	""	""	"IPTG+PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"47"	"iL3PET"	""	""	"IPTG+PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"28"	"iL3PET"	""	""	"No inducer"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"32"	"iL3PET"	""	""	"No inducer"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"51"	"iL3PET"	""	""	"No inducer"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"3"	"iL3PET"	""	""	"PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"9"	"iL3PET"	""	""	"PPDA"	""	""
"iL3PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli str. BL21(IL3)"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"23"	"iL3PET"	""	""	"PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"11"	"PET"	""	""	"IPTG"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"24"	"PET"	""	""	"IPTG"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"36"	"PET"	""	""	"IPTG"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"19"	"PET"	""	""	"IPTG+PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"52"	"PET"	""	""	"IPTG+PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"57"	"PET"	""	""	"IPTG+PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"10"	"PET"	""	""	"No inducer"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"14"	"PET"	""	""	"No inducer"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"44"	"PET"	""	""	"No inducer"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"13"	"PET"	""	""	"PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"17"	"PET"	""	""	"PPDA"	""	""
"PET"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"45"	"PET"	""	""	"PPDA"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC1_1"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC1_2"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC1_3"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC10_1"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC10_2"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC10_3"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC11"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC12"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC13"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC14"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC15"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC16"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC2_1"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC2_2"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC2_3"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC3"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC4"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC5"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC6"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC7"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC8"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC9_1"	"QC"	""	""	"QC"	""	""
"QC"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3);Escherichia coli str. BL21(IL3)"	"EFO"	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC9_2"	"QC"	""	""	"QC"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"15"	"Wild"	""	""	"IPTG"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"27"	"Wild"	""	""	"IPTG"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"43"	"Wild"	""	""	"IPTG"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"6"	"Wild"	""	""	"IPTG+PPDA"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"29"	"Wild"	""	""	"IPTG+PPDA"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"33"	"Wild"	""	""	"IPTG+PPDA"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"1"	"Wild"	""	""	"No inducer"	""	""
"Wild"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"5"	"Wild"	""	""	"No inducer"	""	""
