"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1-Blatt_K-1_1-B,1_01_8080"	"pos-Exp1-Blatt_K-2_1-B,2_01_8082"	"pos-Exp1-Blatt_K-3_1-B,3_01_8084"	"pos-Exp1-Blatt_K-4_1-B,4_01_8086"	"pos-Exp1-Blatt_K-5_1-B,5_01_8088"	"pos-Exp2-Blatt_K-1_1-D,1_01_8091"	"pos-Exp2-Blatt_K-2_1-D,2_01_8093"	"pos-Exp2-Blatt_K-3_1-D,3_01_8095"	"pos-Exp1-Blatt_P-1_1-C,1_01_8081"	"pos-Exp1-Blatt_P-2_1-C,2_01_8083"	"pos-Exp1-Blatt_P-3_1-C,3_01_8085"	"pos-Exp1-Blatt_P-4_1-C,4_01_8087"	"pos-Exp1-Blatt_P-5_1-C,5_01_8089"	"pos-Exp2-Blatt_P-1_1-E,1_01_8092"	"pos-Exp2-Blatt_P-2_1-E,2_01_8094"	"pos-Exp2-Blatt_P-3_1-E,3_01_8096"	"pos-Exp2-Blatt_P-4_1-E,4_01_8099"	"pos-Exp2-Blatt_P-5_1-E,5_01_8100"
""	""	""	""	""	"152.0363"	""	""	""	"  21.063209"	""	""	""	""	""	""	""	""	""	""	""	"  1878.8940"	"  2188.3623"	"  2265.8112"	"  2237.0326"	"  1870.76647"	"  1997.4211"	"  1807.88678"	"  1917.4923"	"2.001762e+03"	"2.222158e+03"	"  1918.47512"	"  1822.84504"	"  2350.00205"	"  1652.46389"	"  2016.10555"	"  1789.1086"	"  1985.49430"	"  2134.37280"
""	""	""	""	""	"153.0543"	""	""	""	" 271.704272"	""	""	""	""	""	""	""	""	""	""	""	"  8940.5175"	"  9908.8023"	"  9405.8520"	"  8757.6672"	"  9667.78525"	" 10161.3134"	"  9338.80752"	"  9649.9912"	"9.466687e+03"	"9.921931e+03"	"  9789.89962"	"  8977.08540"	"  8583.83763"	"  8562.24366"	"  9911.07325"	"  8638.8665"	"  9959.98899"	"  9221.81243"
""	""	""	""	""	"153.0316"	""	""	""	"  20.835933"	""	""	""	""	""	""	""	""	""	""	""	"  1652.4925"	"  1161.8591"	"  1418.7660"	"  1726.9788"	"  1410.00241"	"  1140.8094"	"  1656.60502"	"  1532.4403"	"1.704963e+03"	"1.852338e+03"	"  1162.57067"	"  1575.23246"	"  1943.49096"	"  1171.17932"	"  1705.91593"	"  1768.6109"	"  1319.42927"	"  1908.52560"
""	""	""	""	""	"156.0141"	""	""	""	"  20.882563"	""	""	""	""	""	""	""	""	""	""	""	"  4337.1303"	"  3875.9962"	"  5058.6540"	"  4507.2914"	"  4206.43550"	"  4083.7259"	"  3736.32000"	"  3637.0030"	"4.362513e+03"	"4.725464e+03"	"  4363.49193"	"  4401.12258"	"  4901.88462"	"  3875.74983"	"  3804.91447"	"  3769.1376"	"  3792.18859"	"  3980.80371"
""	""	""	""	""	"156.0541"	""	""	""	" 160.367659"	""	""	""	""	""	""	""	""	""	""	""	"  2612.1302"	"  2520.9146"	"  1283.5774"	"  1916.9629"	"  1901.31900"	"   456.3648"	"  1228.66402"	"   776.5473"	"1.226314e+03"	"1.103862e+03"	"  1168.26720"	"  1150.25280"	"  1220.86042"	"   584.74544"	"   558.88579"	"   820.7337"	"   612.48960"	"   664.59411"
""	""	""	""	""	"157.0470"	""	""	""	" 376.790012"	""	""	""	""	""	""	""	""	""	""	""	"  2446.6224"	"  2403.3719"	"  2316.7282"	"  2538.6960"	"  1989.55447"	"  2560.6743"	"  2237.98046"	"  2296.3983"	"1.729728e+03"	"2.463970e+03"	"  2293.36280"	"  2614.42320"	"  2097.19818"	"  2687.37814"	"  2603.71923"	"  2298.8635"	"  1974.59988"	"  1367.76000"
""	""	""	""	""	"158.5570"	""	""	""	" 160.294127"	""	""	""	""	""	""	""	""	""	""	""	" 15636.1345"	" 14900.1364"	"  9823.5192"	" 12116.7608"	" 10851.84115"	"  3452.9835"	"  5139.03132"	"  5190.4569"	"8.701072e+03"	"7.540135e+03"	"  4970.30640"	"  5340.21768"	"  5660.85840"	"  3342.89467"	"  2505.84293"	"  2401.8405"	"  2642.34709"	"  3245.10104"
""	""	""	""	""	"160.0578"	""	""	""	" 226.024051"	""	""	""	""	""	""	""	""	""	""	""	"  8064.1207"	"  6284.0315"	"  5078.1605"	"  3525.1513"	"  7217.76960"	"  4265.4729"	"  6927.38960"	"  5161.6716"	"6.905042e+03"	"3.277751e+03"	"  4191.12656"	"  3342.13352"	"  3642.73341"	"  4759.64111"	"  3159.85920"	"  6197.0141"	"  4322.42595"	"  5867.64392"
""	""	""	""	""	"160.0756"	""	""	""	" 250.156723"	""	""	""	""	""	""	""	""	""	""	""	"  9952.0051"	"  8534.7997"	"  5867.2845"	"  6265.7590"	"  5794.04186"	"  4879.9626"	"  7412.48025"	"  5273.1798"	"1.077466e+04"	"8.170321e+03"	" 13023.63740"	" 11320.71600"	"  8817.37513"	"  8158.90243"	"  8236.42759"	"  5850.6206"	"  6996.09716"	"  8752.67443"
""	""	""	""	""	"160.0757"	""	""	""	" 212.166413"	""	""	""	""	""	""	""	""	""	""	""	" 10050.3694"	"  8322.4697"	"  9382.7914"	"  9315.3060"	"  6730.54277"	"  7550.3688"	"  8731.98000"	"  6773.1984"	"1.697028e+04"	"1.796714e+04"	" 16486.78731"	" 14723.01466"	" 14746.43584"	" 10772.86673"	" 12397.58316"	" 12588.2372"	" 11560.57877"	" 12566.91406"
""	""	""	""	""	"160.0700"	""	""	""	" 470.562559"	""	""	""	""	""	""	""	""	""	""	""	"  2870.7074"	"  2575.1965"	"  1381.1040"	"  1568.1886"	"  2060.36328"	"  2215.7712"	"  1587.41905"	"  1565.9184"	"3.503074e+03"	"3.151504e+03"	"  2336.20080"	"  1985.25360"	"  1249.53627"	"  2240.47435"	"  1810.52055"	"  1870.6927"	"  2050.43287"	"  1537.77512"
""	""	""	""	""	"160.0754"	""	""	""	" 232.801110"	""	""	""	""	""	""	""	""	""	""	""	"  4860.5985"	"  3203.6063"	"  3559.5120"	"  2750.8656"	"  2414.67491"	"  2341.5027"	"  2648.97468"	"  2731.3174"	"5.223069e+03"	"5.254534e+03"	"  6295.83737"	"  6391.27617"	"  5905.00239"	"  3783.00469"	"  3539.86002"	"  3744.9936"	"  4994.21577"	"  4099.93098"
""	""	""	""	""	"160.5546"	""	""	""	"  60.209432"	""	""	""	""	""	""	""	""	""	""	""	" 20019.3941"	" 15995.7326"	" 15454.0756"	" 15511.5309"	" 10032.80107"	" 16400.5240"	" 20228.46599"	" 12358.2120"	"3.321875e+04"	"2.597447e+04"	" 24612.28381"	" 22420.79614"	" 26021.21501"	" 15567.22539"	" 19303.16601"	" 15233.1282"	" 16152.74046"	" 14035.06553"
""	""	""	""	""	"161.0957"	""	""	""	" 371.787733"	""	""	""	""	""	""	""	""	""	""	""	"  3111.2540"	"  2292.1904"	"  1851.4025"	"  2244.6290"	"  1881.65113"	"  1994.1805"	"  1974.57840"	"  1578.6448"	"3.333997e+03"	"2.845942e+03"	"  2881.97040"	"  2324.85926"	"  2967.59438"	"  2880.96960"	"  1986.88482"	"  2544.4694"	"  3159.26421"	"  2861.35500"
""	""	""	""	""	"162.0401"	""	""	""	" 131.530855"	""	""	""	""	""	""	""	""	""	""	""	" 19991.3802"	" 13236.8881"	" 10954.4414"	" 13214.6697"	" 11349.10475"	" 12628.6515"	" 16582.98015"	" 12093.4439"	"1.321887e+04"	"1.332156e+04"	" 10212.16320"	" 13644.04422"	" 12169.97275"	" 13148.10329"	" 13297.06569"	" 13129.2728"	" 13210.47600"	" 11392.69651"
""	""	""	""	""	"164.9700"	""	""	""	"  20.011006"	""	""	""	""	""	""	""	""	""	""	""	"  3403.1643"	"  3176.0252"	"  3273.9504"	"  3406.7367"	"  3010.20692"	"  2790.8292"	"  2904.39653"	"  3290.7771"	"2.342873e+03"	"3.398638e+03"	"  3026.54016"	"  3551.04759"	"  3434.92210"	"  3643.02120"	"  3142.41024"	"  3090.1230"	"  3583.86480"	"  3394.29842"
""	""	""	""	""	"165.0543"	""	""	""	"  40.988202"	""	""	""	""	""	""	""	""	""	""	""	"  1912.0804"	"   872.7499"	"  1321.9436"	"   849.9703"	"   859.94714"	"  1174.6743"	"  1066.21756"	"   817.8217"	"2.881119e+03"	"2.975205e+03"	"  2287.98432"	"  2462.11412"	"  4255.30257"	"   785.56071"	"   683.19604"	"   841.6007"	"  1105.56282"	"   878.87790"
""	""	""	""	""	"165.1261"	""	""	""	" 258.998601"	""	""	""	""	""	""	""	""	""	""	""	"   943.5927"	"   898.2531"	"   605.4159"	"   568.7332"	"   540.60353"	"   849.5837"	"   625.04686"	"   652.6875"	"6.991205e+02"	"9.935973e+02"	"   867.36000"	"   727.52212"	"  1102.00466"	"   815.72921"	"   567.70875"	"   938.2941"	"   926.76176"	"   823.50990"
""	""	""	""	""	"166.0517"	""	""	""	" 376.726716"	""	""	""	""	""	""	""	""	""	""	""	"  7035.8656"	"  7089.1359"	"  6616.7548"	"  6657.5322"	"  7626.06766"	"  7868.8529"	"  6676.42745"	"  7844.5761"	"7.274815e+03"	"7.388098e+03"	"  6968.40449"	"  7246.58330"	"  8021.34588"	"  7147.49687"	"  7273.08626"	"  6667.5410"	"  6927.38950"	"  7499.66160"
""	""	""	""	""	"166.0859"	""	""	""	"  74.471650"	""	""	""	""	""	""	""	""	""	""	""	" 52605.4524"	" 35901.4672"	" 37747.7283"	" 30383.6208"	" 31088.49406"	" 46233.8872"	" 40377.34000"	" 39391.4880"	"7.824301e+04"	"7.212892e+04"	" 66322.34880"	" 65375.04455"	" 73664.56264"	" 38511.11760"	" 66565.87680"	" 37492.3032"	" 43484.32052"	" 35841.87829"
""	""	""	""	""	"166.5532"	""	""	""	" 376.812510"	""	""	""	""	""	""	""	""	""	""	""	"   877.4608"	"  1202.0400"	"  1138.1143"	"   895.5358"	"  1543.88753"	"  1452.6217"	"   861.87113"	"   696.1399"	"1.032826e+03"	"1.321624e+03"	"  1057.84560"	"   876.36720"	"  1288.58389"	"  1170.37958"	"  1054.57516"	"   607.2560"	"  1264.67760"	"   849.17587"
""	""	""	""	""	"167.0118"	""	""	""	"  21.057741"	""	""	""	""	""	""	""	""	""	""	""	"  2726.1586"	"  1359.6007"	"  2588.8754"	"  2569.7406"	"  2167.73678"	"  2331.3540"	"  2265.12190"	"  2758.4659"	"1.731523e+03"	"2.321409e+03"	"  2785.82368"	"  1856.65095"	"  2028.36907"	"  2060.58180"	"  1305.94333"	"  1786.7049"	"  2413.10249"	"  1335.16656"
""	""	""	""	""	"167.0886"	""	""	""	"  74.595239"	""	""	""	""	""	""	""	""	""	""	""	"  5853.4044"	"  3985.5192"	"  3766.4293"	"  2369.2272"	"  3102.45651"	"  5183.8104"	"  4582.23070"	"  3862.7366"	"8.302702e+03"	"7.724174e+03"	"  6467.50320"	"  6813.86036"	"  8084.79600"	"  4090.86596"	"  7046.70801"	"  3795.7008"	"  4797.06583"	"  3346.89813"
""	""	""	""	""	"167.5622"	""	""	""	" 160.545157"	""	""	""	""	""	""	""	""	""	""	""	" 11364.9356"	" 10424.0038"	"  6990.5828"	"  9135.1260"	"  8094.58934"	"  2570.7216"	"  3734.50253"	"  3688.9664"	"6.225842e+03"	"5.398304e+03"	"  4177.33920"	"  3924.30729"	"  4482.58320"	"  2249.13120"	"  1816.11840"	"  2465.7263"	"  1585.28393"	"  2952.24762"
""	""	""	""	""	"168.0451"	""	""	""	"  64.227110"	""	""	""	""	""	""	""	""	""	""	""	" 32014.5912"	" 32161.2645"	" 37601.3904"	" 33158.0475"	" 29679.69231"	" 25906.7746"	" 26152.05117"	" 33131.5606"	"8.541500e+04"	"9.970287e+04"	" 97515.37395"	" 82296.57935"	" 82374.66333"	" 54792.86839"	" 66554.36003"	" 72773.2478"	" 86258.61840"	" 91085.34109"
""	""	""	""	""	"169.0366"	""	""	""	"  37.507815"	""	""	""	""	""	""	""	""	""	""	""	"  2874.3788"	"  3892.0401"	"  5297.2957"	"  4430.9598"	"  5310.34358"	"  4322.7336"	"  3233.80289"	"  4043.7479"	"1.801159e+03"	"3.272145e+03"	"  2122.93118"	"  2044.85232"	"  3732.42332"	"  4178.57111"	"  3013.74240"	"  3611.3283"	"  5446.41087"	"  4384.50480"
""	""	""	""	""	"169.0620"	""	""	""	" 226.122785"	""	""	""	""	""	""	""	""	""	""	""	"  6727.3776"	"  5779.6200"	"  3752.3059"	"  3594.5002"	"  5846.00640"	"  3980.8920"	"  4375.34328"	"  4692.1505"	"5.958904e+03"	"2.141230e+03"	"  3457.30383"	"  3237.59255"	"  2582.26591"	"  4244.72296"	"  3415.35569"	"  5631.6446"	"  4879.66304"	"  6552.15957"
""	""	""	""	""	"169.0743"	""	""	""	" 470.740591"	""	""	""	""	""	""	""	""	""	""	""	"  2271.3048"	"  1186.4071"	"  1094.3776"	"  1081.2960"	"  1212.51375"	"  1688.6832"	"   692.19750"	"  1046.5928"	"2.264262e+03"	"2.240018e+03"	"  1699.49733"	"  1359.08640"	"  1599.55234"	"  1550.23920"	"  1755.85423"	"  1128.9024"	"  1497.43096"	"  1565.23033"
""	""	""	""	""	"169.5708"	""	""	""	" 376.789069"	""	""	""	""	""	""	""	""	""	""	""	"  3082.4640"	"  3245.4654"	"  2653.6510"	"  2789.4386"	"  3541.71783"	"  2914.3768"	"  3374.92240"	"  3164.4547"	"3.034426e+03"	"3.292298e+03"	"  3041.09760"	"  3232.58400"	"  3412.39440"	"  3273.27000"	"  3391.72680"	"  3324.8023"	"  2757.98847"	"  2231.61675"
""	""	""	""	""	"171.0165"	""	""	""	"  26.139298"	""	""	""	""	""	""	""	""	""	""	""	" 26255.1800"	" 21238.4814"	" 19980.0966"	" 20746.2504"	" 19319.25635"	" 18978.5040"	" 21179.59523"	" 17471.3069"	"1.491289e+04"	"1.163034e+04"	" 11433.13824"	" 12884.70977"	" 12539.16415"	" 11724.51764"	" 12145.88428"	" 13152.4241"	"  9963.01322"	" 11166.56591"
""	""	""	""	""	"171.9911"	""	""	""	"  20.782602"	""	""	""	""	""	""	""	""	""	""	""	"  1514.0937"	"  1088.2888"	"  1501.6511"	"  1784.2204"	"  1426.47360"	"  1362.0312"	"  1864.32603"	"  1727.3260"	"1.365803e+03"	"1.441265e+03"	"  1943.14675"	"  1386.48195"	"  1771.21687"	"  1733.27074"	"  1282.60125"	"  1142.4516"	"  1206.58014"	"   915.56730"
